,0,1,2
0,"January 31, 1996",0.74171,ARS Argentine Peso
0,"February 29, 1996",0.75557,ARS Argentine Peso
0,"March 31, 1996",0.771362,ARS Argentine Peso
0,"April 30, 1996",0.785664,ARS Argentine Peso
0,"May 31, 1996",0.796995,ARS Argentine Peso
0,"June 30, 1996",0.791215,ARS Argentine Peso
0,"July 31, 1996",0.789741,ARS Argentine Peso
0,"August 31, 1996",0.783045,ARS Argentine Peso
0,"September 30, 1996",0.79279,ARS Argentine Peso
0,"October 31, 1996",0.791791,ARS Argentine Peso
0,"November 30, 1996",0.796837,ARS Argentine Peso
0,"December 31, 1996",0.79661,ARS Argentine Peso
0,"January 31, 1997",0.777557,ARS Argentine Peso
0,"February 28, 1997",0.767679,ARS Argentine Peso
0,"March 31, 1997",0.787471,ARS Argentine Peso
0,"April 30, 1997",0.778682,ARS Argentine Peso
0,"May 31, 1997",0.7751,ARS Argentine Peso
0,"June 30, 1997",0.754224,ARS Argentine Peso
0,"July 31, 1997",0.741986,ARS Argentine Peso
0,"August 31, 1997",0.740362,ARS Argentine Peso
0,"September 30, 1997",0.723095,ARS Argentine Peso
0,"October 31, 1997",0.719714,ARS Argentine Peso
0,"November 30, 1997",0.695256,ARS Argentine Peso
0,"December 31, 1997",0.661873,ARS Argentine Peso
0,"January 31, 1998",0.656585,ARS Argentine Peso
0,"February 28, 1998",0.674363,ARS Argentine Peso
0,"March 31, 1998",0.669627,ARS Argentine Peso
0,"April 30, 1998",0.652309,ARS Argentine Peso
0,"May 31, 1998",0.631235,ARS Argentine Peso
0,"June 30, 1998",0.604559,ARS Argentine Peso
0,"July 31, 1998",0.618022,ARS Argentine Peso
0,"August 31, 1998",0.588838,ARS Argentine Peso
0,"September 30, 1998",0.588862,ARS Argentine Peso
0,"October 31, 1998",0.617852,ARS Argentine Peso
0,"November 30, 1998",0.634942,ARS Argentine Peso
0,"December 31, 1998",0.618205,ARS Argentine Peso
0,"January 31, 1999",0.632438,ARS Argentine Peso
0,"February 28, 1999",0.640356,ARS Argentine Peso
0,"March 31, 1999",0.630812,ARS Argentine Peso
0,"April 30, 1999",0.643106,ARS Argentine Peso
0,"May 31, 1999",0.662591,ARS Argentine Peso
0,"June 30, 1999",0.656407,ARS Argentine Peso
0,"July 31, 1999",0.656213,ARS Argentine Peso
0,"August 31, 1999",0.644636,ARS Argentine Peso
0,"September 30, 1999",0.649619,ARS Argentine Peso
0,"October 31, 1999",0.651144,ARS Argentine Peso
0,"November 30, 1999",0.638834,ARS Argentine Peso
0,"December 31, 1999",0.640753,ARS Argentine Peso
0,"January 31, 2000",0.656473,ARS Argentine Peso
0,"February 29, 2000",0.627936,ARS Argentine Peso
0,"March 31, 2000",0.608637,ARS Argentine Peso
0,"April 30, 2000",0.595797,ARS Argentine Peso
0,"May 31, 2000",0.578235,ARS Argentine Peso
0,"June 30, 2000",0.593783,ARS Argentine Peso
0,"July 31, 2000",0.588344,ARS Argentine Peso
0,"August 31, 2000",0.580595,ARS Argentine Peso
0,"September 30, 2000",0.553183,ARS Argentine Peso
0,"October 31, 2000",0.528437,ARS Argentine Peso
0,"November 30, 2000",0.522436,ARS Argentine Peso
0,"December 31, 2000",0.547552,ARS Argentine Peso
0,"January 31, 2001",0.555634,ARS Argentine Peso
0,"February 28, 2001",0.53462,ARS Argentine Peso
0,"March 31, 2001",0.504155,ARS Argentine Peso
0,"April 30, 2001",0.501531,ARS Argentine Peso
0,"May 31, 2001",0.520594,ARS Argentine Peso
0,"June 30, 2001",0.518121,ARS Argentine Peso
0,"July 31, 2001",0.510379,ARS Argentine Peso
0,"August 31, 2001",0.524508,ARS Argentine Peso
0,"September 30, 2001",0.506944,ARS Argentine Peso
0,"October 31, 2001",0.504499,ARS Argentine Peso
0,"November 30, 2001",0.517075,ARS Argentine Peso
0,"December 31, 2001",0.51426,ARS Argentine Peso
0,"January 31, 2002",0.517389,ARS Argentine Peso
0,"February 28, 2002",0.51305,ARS Argentine Peso
0,"March 31, 2002",0.524835,ARS Argentine Peso
0,"April 30, 2002",0.535586,ARS Argentine Peso
0,"May 31, 2002",0.54908,ARS Argentine Peso
0,"June 30, 2002",0.568429,ARS Argentine Peso
